No,Sun 5% (MW),Sun 10% (MW),Sun 15% (MW)
2294,32.5,65,70.5
2295,33,66,87.75
2296,29.5,59,97.5
2297,23.5,47,99
2298,29.25,58.5,88.5
2299,32.5,65,70.5
2300,33,66,87.75
2301,29.5,59,97.5
2302,23.5,47,99
2303,29.25,58.5,88.5
2304,32.5,65,70.5
2305,33,66,87.75
2306,29.5,59,97.5
2307,23.5,47,99
2308,29.25,58.5,88.5
2309,32.5,65,70.5
2310,33,66,87.75
2311,29.5,59,97.5
2312,23.5,47,99
2313,29.25,58.5,88.5
2314,32.5,65,70.5
2315,33,66,87.75
2316,29.5,59,97.5
2317,23.5,47,99
2318,29.25,58.5,88.5
2319,32.5,65,70.5
2320,33,66,87.75
2321,29.5,59,97.5
2322,23.5,47,99
2323,29.25,58.5,88.5
2324,32.5,65,70.5
2325,33,66,87.75
2326,29.5,59,97.5
2327,23.5,47,99
2328,29.25,58.5,88.5
2329,32.5,65,70.5
2330,33,66,87.75
2331,29.5,59,97.5
2332,23.5,47,99
2333,29.25,58.5,88.5
2334,32.5,65,70.5
2335,33,66,87.75
2336,29.5,59,97.5
2337,23.5,47,99
2338,29.25,58.5,88.5
2339,32.5,65,70.5
2340,33,66,87.75
2341,29.5,59,97.5
2342,23.5,47,99
2343,29.25,58.5,88.5
2344,32.5,65,70.5
2345,33,66,87.75
2346,29.5,59,97.5
2347,23.5,47,99
2348,29.25,58.5,88.5
2349,32.5,65,70.5
2350,33,66,87.75
2351,29.5,59,97.5
2352,23.5,47,99
2353,29.25,58.5,88.5
2354,32.5,65,70.5
2355,33,66,87.75
2356,29.5,59,97.5
2357,23.5,47,99
2358,29.25,58.5,88.5
2359,32.5,65,70.5
2360,33,66,87.75
2361,29.5,59,97.5
2362,23.5,47,99
2363,29.25,58.5,88.5
2364,32.5,65,70.5
2365,33,66,87.75
2366,29.5,59,97.5
2367,23.5,47,99
2368,29.25,58.5,88.5
2369,32.5,65,70.5
2370,33,66,87.75
2371,29.5,59,97.5
2372,23.5,47,99
2373,29.25,58.5,88.5
2374,32.5,65,70.5
2375,33,66,87.75
2376,29.5,59,97.5
2377,23.5,47,99
2378,29.25,58.5,88.5
2379,32.5,65,70.5
2380,33,66,87.75
2381,29.5,59,97.5
2382,23.5,47,99
2383,29.25,58.5,88.5
2384,32.5,65,70.5
2385,33,66,87.75
2386,29.5,59,97.5
2387,23.5,47,99
2388,29.25,58.5,88.5
2389,32.5,65,70.5
2390,33,66,87.75
2391,29.5,59,97.5
2392,23.5,47,99
2393,29.25,58.5,88.5
2394,32.5,65,70.5
2395,33,66,87.75
2396,29.5,59,97.5
2397,23.5,47,99
2398,29.25,58.5,88.5
2399,32.5,65,70.5
2400,33,66,87.75
2401,29.5,59,97.5
2402,23.5,47,99
2403,29.25,58.5,88.5
2404,32.5,65,70.5
2405,33,66,87.75
2406,29.5,59,97.5
2407,23.5,47,99
2408,29.25,58.5,88.5
2409,32.5,65,70.5
2410,33,66,87.75
2411,29.5,59,97.5
2412,23.5,47,99
2413,29.25,58.5,88.5
2414,32.5,65,70.5
2415,33,66,87.75
2416,29.5,59,97.5
2417,23.5,47,99
2418,29.25,58.5,88.5
2419,32.5,65,70.5
2420,33,66,87.75
2421,29.5,59,97.5
2422,23.5,47,99
2423,29.25,58.5,88.5
2424,32.5,65,70.5
2425,33,66,87.75
2426,29.5,59,97.5
2427,23.5,47,99
2428,29.25,58.5,88.5
2429,32.5,65,70.5
2430,33,66,87.75
2431,29.5,59,97.5
2432,23.5,47,99
2433,29.25,58.5,88.5
2434,32.5,65,70.5
2435,33,66,87.75
2436,29.5,59,97.5
2437,23.5,47,99
2438,29.25,58.5,88.5
2439,32.5,65,70.5
2440,33,66,87.75
2441,29.5,59,97.5
2442,23.5,47,99
2443,29.25,58.5,88.5
2444,32.5,65,70.5
2445,33,66,87.75
2446,29.5,59,97.5
2447,23.5,47,99
2448,29.25,58.5,88.5
2449,32.5,65,70.5
2450,33,66,87.75
2451,29.5,59,97.5
2452,23.5,47,99
2453,29.25,58.5,88.5
2454,32.5,65,70.5
2455,33,66,87.75
2456,29.5,59,97.5
2457,23.5,47,99
2458,29.25,58.5,88.5
2459,32.5,65,70.5
2460,33,66,87.75
2461,29.5,59,97.5
2462,23.5,47,99
2463,29.25,58.5,88.5
2464,32.5,65,70.5
2465,33,66,87.75
2466,29.5,59,97.5
2467,23.5,47,99
2468,29.25,58.5,88.5
2469,32.5,65,70.5
2470,33,66,87.75
2471,29.5,59,97.5
2472,23.5,47,99
2473,29.25,58.5,88.5
2474,32.5,65,70.5
2475,33,66,87.75
2476,29.5,59,97.5
2477,23.5,47,99
2478,29.25,58.5,88.5
2479,32.5,65,70.5
2480,33,66,87.75
2481,29.5,59,97.5
2482,23.5,47,99
2483,29.25,58.5,88.5
2484,32.5,65,70.5
2485,33,66,87.75
2486,29.5,59,97.5
2487,23.5,47,99
2488,29.25,58.5,88.5
2489,32.5,65,70.5
2490,33,66,87.75
2491,29.5,59,97.5
2492,23.5,47,99
2493,29.25,58.5,88.5
2494,32.5,65,70.5
2495,33,66,87.75
2496,29.5,59,97.5
2497,23.5,47,99
2498,29.25,58.5,88.5
2499,32.5,65,70.5
2500,33,66,87.75
2501,29.5,59,97.5
2502,23.5,47,99
2503,29.25,58.5,88.5
2504,32.5,65,70.5
2505,33,66,87.75
2506,29.5,59,97.5
2507,23.5,47,99
2508,29.25,58.5,88.5
2509,32.5,65,70.5
2510,33,66,87.75
2511,29.5,59,97.5
2512,23.5,47,99
2513,29.25,58.5,88.5
2514,32.5,65,70.5
2515,33,66,87.75
2516,29.5,59,97.5
2517,23.5,47,99
2518,29.25,58.5,88.5
2519,32.5,65,70.5
2520,33,66,87.75
2521,29.5,59,97.5
2522,23.5,47,99
2523,29.25,58.5,88.5
2524,32.5,65,70.5
2525,33,66,87.75
2526,29.5,59,97.5
2527,23.5,47,99
2528,29.25,58.5,88.5
2529,32.5,65,70.5
2530,33,66,87.75
2531,29.5,59,97.5
2532,23.5,47,99
2533,29.25,58.5,88.5
2534,32.5,65,70.5
2535,33,66,87.75
2536,29.5,59,97.5
2537,23.5,47,99
2538,29.25,58.5,88.5
2539,32.5,65,70.5
2540,33,66,87.75
2541,29.5,59,97.5
2542,23.5,47,99
2543,29.25,58.5,88.5
2544,32.5,65,70.5
2545,33,66,87.75
2546,29.5,59,97.5
2547,23.5,47,99
2548,29.25,58.5,88.5
2549,32.5,65,70.5
2550,33,66,87.75
2551,29.5,59,97.5
2552,23.5,47,99
2553,29.25,58.5,88.5
2554,32.5,65,70.5
2555,33,66,87.75
2556,29.5,59,97.5
2557,23.5,47,99
2558,29.25,58.5,88.5
2559,32.5,65,70.5
2560,33,66,87.75
2561,29.5,59,97.5
2562,23.5,47,99
2563,29.25,58.5,88.5
2564,32.5,65,70.5
2565,33,66,87.75
2566,29.5,59,97.5
2567,23.5,47,99
2568,29.25,58.5,88.5
2569,32.5,65,70.5
2570,33,66,87.75
2571,29.5,59,97.5
2572,23.5,47,99
2573,29.25,58.5,88.5
2574,32.5,65,70.5
2575,33,66,87.75
2576,29.5,59,97.5
2577,23.5,47,99
2578,29.25,58.5,88.5
2579,32.5,65,70.5
2580,33,66,87.75
2581,29.5,59,97.5
2582,23.5,47,99
2583,29.25,58.5,88.5
2584,32.5,65,70.5
2585,33,66,87.75
2586,29.5,59,97.5
2587,23.5,47,99
2588,29.25,58.5,88.5
2589,32.5,65,70.5
2590,33,66,87.75
2591,29.5,59,97.5
2592,23.5,47,99
2593,29.25,58.5,88.5
2594,32.5,65,70.5
2595,33,66,87.75
2596,29.5,59,97.5
2597,23.5,47,99
2598,29.25,58.5,88.5
2599,32.5,65,70.5
2600,33,66,87.75
2601,29.5,59,97.5
2602,23.5,47,99
2603,29.25,58.5,88.5
2604,32.5,65,70.5
2605,33,66,87.75
2606,29.5,59,97.5
2607,23.5,47,99
2608,29.25,58.5,88.5
2609,32.5,65,70.5
2610,33,66,87.75
2611,29.5,59,97.5
2612,23.5,47,99
2613,29.25,58.5,88.5
2614,32.5,65,70.5
2615,33,66,87.75
2616,29.5,59,97.5
2617,23.5,47,99
2618,29.25,58.5,88.5
2619,32.5,65,70.5
2620,33,66,87.75
2621,29.5,59,97.5
2622,23.5,47,99
2623,29.25,58.5,88.5
2624,32.5,65,70.5
2625,33,66,87.75
2626,29.5,59,97.5
2627,23.5,47,99
2628,29.25,58.5,88.5
2629,32.5,65,70.5
2630,33,66,87.75
2631,29.5,59,97.5
2632,23.5,47,99
2633,29.25,58.5,88.5
2634,32.5,65,70.5
2635,33,66,87.75
2636,29.5,59,97.5
2637,23.5,47,99
2638,29.25,58.5,88.5
2639,32.5,65,70.5
2640,33,66,87.75
2641,29.5,59,97.5
2642,23.5,47,99
2643,29.25,58.5,88.5
2644,32.5,65,70.5
2645,33,66,87.75
2646,29.5,59,97.5
2647,23.5,47,99
2648,29.25,58.5,88.5
2649,32.5,65,70.5
2650,33,66,87.75
2651,29.5,59,97.5
2652,23.5,47,99
2653,29.25,58.5,88.5
2654,32.5,65,70.5
2655,33,66,87.75
2656,29.5,59,97.5
2657,23.5,47,99
2658,29.25,58.5,88.5
2659,32.5,65,70.5
2660,33,66,87.75
2661,29.5,59,97.5
2662,23.5,47,99
2663,29.25,58.5,88.5
2664,32.5,65,70.5
2665,33,66,87.75
2666,29.5,59,97.5
2667,23.5,47,99
2668,29.25,58.5,88.5
2669,32.5,65,70.5
2670,33,66,87.75
2671,29.5,59,97.5
2672,23.5,47,99
2673,29.25,58.5,88.5
2674,32.5,65,70.5
2675,33,66,87.75
2676,29.5,59,97.5
2677,23.5,47,99
2678,29.25,58.5,88.5
2679,32.5,65,70.5
2680,33,66,87.75
2681,29.5,59,97.5
2682,23.5,47,99
2683,29.25,58.5,88.5
2684,32.5,65,70.5
2685,33,66,87.75
2686,29.5,59,97.5
2687,23.5,47,99
2688,29.25,58.5,88.5
2689,32.5,65,70.5
2690,33,66,87.75
2691,29.5,59,97.5
2692,23.5,47,99
2693,29.25,58.5,88.5
2694,32.5,65,70.5
2695,33,66,87.75
2696,29.5,59,97.5
2697,23.5,47,99
2698,29.25,58.5,88.5
2699,32.5,65,70.5
2700,33,66,87.75
2701,29.5,59,97.5
2702,23.5,47,99
2703,29.25,58.5,88.5
2704,32.5,65,70.5
2705,33,66,87.75
2706,29.5,59,97.5
2707,23.5,47,99
2708,29.25,58.5,88.5
2709,32.5,65,70.5
2710,33,66,87.75
2711,29.5,59,97.5
2712,23.5,47,99
2713,29.25,58.5,88.5
2714,32.5,65,70.5
2715,33,66,87.75
2716,29.5,59,97.5
2717,23.5,47,99
2718,29.25,58.5,88.5
2719,32.5,65,70.5
2720,33,66,87.75
2721,29.5,59,97.5
2722,23.5,47,99
2723,29.25,58.5,88.5
2724,32.5,65,70.5
2725,33,66,87.75
2726,29.5,59,97.5
2727,23.5,47,99
2728,29.25,58.5,88.5
2729,32.5,65,70.5
2730,33,66,87.75
2731,29.5,59,97.5
2732,23.5,47,99
2733,29.25,58.5,88.5
2734,32.5,65,70.5
2735,33,66,87.75
2736,29.5,59,97.5
2737,23.5,47,99
2738,29.25,58.5,88.5
2739,32.5,65,70.5
2740,33,66,87.75
2741,29.5,59,97.5
2742,23.5,47,99
2743,29.25,58.5,88.5
2744,32.5,65,70.5
2745,33,66,87.75
2746,29.5,59,97.5
2747,23.5,47,99
2748,29.25,58.5,88.5
2749,32.5,65,70.5
2750,33,66,87.75
2751,29.5,59,97.5
2752,23.5,47,99
2753,29.25,58.5,88.5
2754,32.5,65,70.5
2755,33,66,87.75
2756,29.5,59,97.5
2757,23.5,47,99
2758,29.25,58.5,88.5
2759,32.5,65,70.5
2760,33,66,87.75
2761,29.5,59,97.5
2762,23.5,47,99
2763,29.25,58.5,88.5
2764,32.5,65,70.5
2765,33,66,87.75
2766,29.5,59,97.5
2767,23.5,47,99
2768,29.25,58.5,88.5
2769,32.5,65,70.5
2770,33,66,87.75
2771,29.5,59,97.5
2772,23.5,47,99
2773,29.25,58.5,88.5
2774,32.5,65,70.5
2775,33,66,87.75
2776,29.5,59,97.5
2777,23.5,47,99
2778,29.25,58.5,88.5
2779,32.5,65,70.5
2780,33,66,87.75
2781,29.5,59,97.5
2782,23.5,47,99
2783,29.25,58.5,88.5
2784,32.5,65,70.5
2785,33,66,87.75
2786,29.5,59,97.5
2787,23.5,47,99
2788,29.25,58.5,88.5
2789,32.5,65,70.5
2790,33,66,87.75
2791,29.5,59,97.5
2792,23.5,47,99
2793,29.25,58.5,88.5
2794,32.5,65,70.5
2795,33,66,87.75
2796,29.5,59,97.5
2797,23.5,47,99
2798,29.25,58.5,88.5
2799,32.5,65,70.5
2800,33,66,87.75
2801,29.5,59,97.5
2802,23.5,47,99
2803,29.25,58.5,88.5
2804,32.5,65,70.5
2805,33,66,87.75
2806,29.5,59,97.5
2807,23.5,47,99
2808,29.25,58.5,88.5
2809,32.5,65,70.5
2810,33,66,87.75
2811,29.5,59,97.5
2812,23.5,47,99
2813,29.25,58.5,88.5
2814,32.5,65,70.5
2815,33,66,87.75
2816,29.5,59,97.5
2817,23.5,47,99
2818,29.25,58.5,88.5
2819,32.5,65,70.5
2820,33,66,87.75
2821,29.5,59,97.5
2822,23.5,47,99
2823,29.25,58.5,88.5
2824,32.5,65,70.5
2825,33,66,87.75
2826,29.5,59,97.5
2827,23.5,47,99
2828,29.25,58.5,88.5
2829,32.5,65,70.5
2830,33,66,87.75
2831,29.5,59,97.5
2832,23.5,47,99
2833,29.25,58.5,88.5
2834,32.5,65,70.5
2835,33,66,87.75
2836,29.5,59,97.5
2837,23.5,47,99
2838,29.25,58.5,88.5
2839,32.5,65,70.5
2840,33,66,87.75
2841,29.5,59,97.5
2842,23.5,47,99
2843,29.25,58.5,88.5
2844,32.5,65,70.5
2845,33,66,87.75
2846,29.5,59,97.5
2847,23.5,47,99
2848,29.25,58.5,88.5
2849,32.5,65,70.5
2850,33,66,87.75
2851,29.5,59,97.5
2852,23.5,47,99
2853,29.25,58.5,88.5
2854,32.5,65,70.5
2855,33,66,87.75
2856,29.5,59,97.5
2857,23.5,47,99
2858,29.25,58.5,88.5
2859,32.5,65,70.5
2860,33,66,87.75
2861,29.5,59,97.5
2862,23.5,47,99
2863,29.25,58.5,88.5
2864,32.5,65,70.5
2865,33,66,87.75
2866,29.5,59,97.5
2867,23.5,47,99
2868,29.25,58.5,88.5
2869,32.5,65,70.5
2870,33,66,87.75
2871,29.5,59,97.5
2872,23.5,47,99
2873,29.25,58.5,88.5
2874,32.5,65,70.5
2875,33,66,87.75
2876,29.5,59,97.5
2877,23.5,47,99
2878,29.25,58.5,88.5
2879,32.5,65,70.5
2880,33,66,87.75
2881,29.5,59,97.5
2882,23.5,47,99
2883,29.25,58.5,88.5
2884,32.5,65,70.5
2885,33,66,87.75
2886,29.5,59,97.5
2887,23.5,47,99
2888,29.25,58.5,88.5
2889,32.5,65,70.5
2890,33,66,87.75
2891,29.5,59,97.5
2892,23.5,47,99
2893,29.25,58.5,88.5
2894,32.5,65,70.5
2895,33,66,87.75
2896,29.5,59,97.5
2897,23.5,47,99
2898,29.25,58.5,88.5
2899,32.5,65,70.5
2900,33,66,87.75
2901,29.5,59,97.5
2902,23.5,47,99
2903,29.25,58.5,88.5
2904,32.5,65,70.5
2905,33,66,87.75
2906,29.5,59,97.5
2907,23.5,47,99
2908,29.25,58.5,88.5
2909,32.5,65,70.5
2910,33,66,87.75
2911,29.5,59,97.5
2912,23.5,47,99
2913,29.25,58.5,88.5
2914,32.5,65,70.5
2915,33,66,87.75
2916,29.5,59,97.5
2917,23.5,47,99
2918,29.25,58.5,88.5
2919,32.5,65,70.5
2920,33,66,87.75
2921,29.5,59,97.5
2922,23.5,47,99
2923,29.25,58.5,88.5
2924,32.5,65,70.5
2925,33,66,87.75
2926,29.5,59,97.5
2927,23.5,47,99
2928,29.25,58.5,88.5
2929,32.5,65,70.5
2930,33,66,87.75
2931,29.5,59,97.5
2932,23.5,47,99
2933,29.25,58.5,88.5
2934,32.5,65,70.5
2935,33,66,87.75
2936,29.5,59,97.5
2937,23.5,47,99
2938,29.25,58.5,88.5
2939,32.5,65,70.5
2940,33,66,87.75
2941,29.5,59,97.5
2942,23.5,47,99
2943,29.25,58.5,88.5
2944,32.5,65,70.5
2945,33,66,87.75
2946,29.5,59,97.5
2947,23.5,47,99
2948,29.25,58.5,88.5
2949,32.5,65,70.5
2950,33,66,87.75
2951,29.5,59,97.5
2952,23.5,47,99
2953,29.25,58.5,88.5
2954,32.5,65,70.5
2955,33,66,87.75
2956,29.5,59,97.5
2957,23.5,47,99
2958,29.25,58.5,88.5
2959,32.5,65,70.5
2960,33,66,87.75
2961,29.5,59,97.5
2962,23.5,47,99
2963,29.25,58.5,88.5
2964,32.5,65,70.5
2965,33,66,87.75
2966,29.5,59,97.5
2967,23.5,47,99
2968,29.25,58.5,88.5
2969,32.5,65,70.5
2970,33,66,87.75
2971,29.5,59,97.5
2972,23.5,47,99
2973,29.25,58.5,88.5
2974,32.5,65,70.5
2975,33,66,87.75
2976,29.5,59,97.5
2977,23.5,47,99
2978,29.25,58.5,88.5
2979,32.5,65,70.5
2980,33,66,87.75
2981,29.5,59,97.5
2982,23.5,47,99
2983,29.25,58.5,88.5
2984,32.5,65,70.5
2985,33,66,87.75
2986,29.5,59,97.5
2987,23.5,47,99
2988,29.25,58.5,88.5
2989,32.5,65,70.5
2990,33,66,87.75
2991,29.5,59,97.5
2992,23.5,47,99
2993,29.25,58.5,88.5
2994,32.5,65,70.5
2995,33,66,87.75
2996,29.5,59,97.5
2997,23.5,47,99
2998,29.25,58.5,88.5
2999,32.5,65,70.5
3000,33,66,87.75
3001,29.5,59,97.5
3002,23.5,47,99
3003,29.25,58.5,88.5
3004,32.5,65,70.5
3005,33,66,87.75
3006,29.5,59,97.5
3007,23.5,47,99
3008,29.25,58.5,88.5
3009,32.5,65,70.5
3010,33,66,87.75
3011,29.5,59,97.5
3012,23.5,47,99
3013,29.25,58.5,88.5
3014,32.5,65,70.5
3015,33,66,87.75
3016,29.5,59,97.5
3017,23.5,47,99
3018,29.25,58.5,88.5
3019,32.5,65,70.5
3020,33,66,87.75
3021,29.5,59,97.5
3022,23.5,47,99
3023,29.25,58.5,88.5
3024,32.5,65,70.5
3025,33,66,87.75
3026,29.5,59,97.5
3027,23.5,47,99
3028,29.25,58.5,88.5
3029,32.5,65,70.5
3030,33,66,87.75
3031,29.5,59,97.5
3032,23.5,47,99
3033,29.25,58.5,88.5
3034,32.5,65,70.5
3035,33,66,87.75
3036,29.5,59,97.5
3037,23.5,47,99
3038,29.25,58.5,88.5
3039,32.5,65,70.5
3040,33,66,87.75
3041,29.5,59,97.5
3042,23.5,47,99
3043,29.25,58.5,88.5
3044,32.5,65,70.5
3045,33,66,87.75
3046,29.5,59,97.5
3047,23.5,47,99
3048,29.25,58.5,88.5
3049,32.5,65,70.5
3050,33,66,87.75
3051,29.5,59,97.5
3052,23.5,47,99
3053,29.25,58.5,88.5
3054,32.5,65,70.5
3055,33,66,87.75
3056,29.5,59,97.5
3057,23.5,47,99
3058,29.25,58.5,88.5
3059,32.5,65,70.5
3060,33,66,87.75
3061,29.5,59,97.5
3062,23.5,47,99
3063,29.25,58.5,88.5
3064,32.5,65,70.5
3065,33,66,87.75
3066,29.5,59,97.5
3067,23.5,47,99
3068,29.25,58.5,88.5
3069,32.5,65,70.5
3070,33,66,87.75
3071,29.5,59,97.5
3072,23.5,47,99
3073,29.25,58.5,88.5
3074,32.5,65,70.5
3075,33,66,87.75
3076,29.5,59,97.5
3077,23.5,47,99
3078,29.25,58.5,88.5
3079,32.5,65,70.5
3080,33,66,87.75
3081,29.5,59,97.5
3082,23.5,47,99
3083,29.25,58.5,88.5
3084,32.5,65,70.5
3085,33,66,87.75
3086,29.5,59,97.5
3087,23.5,47,99
3088,29.25,58.5,88.5
3089,32.5,65,70.5
3090,33,66,87.75
3091,29.5,59,97.5
3092,23.5,47,99
3093,29.25,58.5,88.5
3094,32.5,65,70.5
3095,33,66,87.75
3096,29.5,59,97.5
3097,23.5,47,99
3098,29.25,58.5,88.5
3099,32.5,65,70.5
3100,33,66,87.75
3101,29.5,59,97.5
3102,23.5,47,99
3103,29.25,58.5,88.5
3104,32.5,65,70.5
3105,33,66,87.75
3106,29.5,59,97.5
3107,23.5,47,99
3108,29.25,58.5,88.5
3109,32.5,65,70.5
3110,33,66,87.75
3111,29.5,59,97.5
3112,23.5,47,99
3113,29.25,58.5,88.5
3114,32.5,65,70.5
3115,33,66,87.75
3116,29.5,59,97.5
3117,23.5,47,99
3118,29.25,58.5,88.5
3119,32.5,65,70.5
3120,33,66,87.75
3121,29.5,59,97.5
3122,23.5,47,99
3123,29.25,58.5,88.5
3124,32.5,65,70.5
3125,33,66,87.75
3126,29.5,59,97.5
3127,23.5,47,99
3128,29.25,58.5,88.5
3129,32.5,65,70.5
3130,33,66,87.75
3131,29.5,59,97.5
3132,23.5,47,99
3133,29.25,58.5,88.5
3134,32.5,65,70.5
3135,33,66,87.75
3136,29.5,59,97.5
3137,23.5,47,99
3138,29.25,58.5,88.5
3139,32.5,65,70.5
3140,33,66,87.75
3141,29.5,59,97.5
3142,23.5,47,99
3143,29.25,58.5,88.5
3144,32.5,65,70.5
3145,33,66,87.75
3146,29.5,59,97.5
3147,23.5,47,99
3148,29.25,58.5,88.5
3149,32.5,65,70.5
3150,33,66,87.75
3151,29.5,59,97.5
3152,23.5,47,99
3153,29.25,58.5,88.5
3154,32.5,65,70.5
3155,33,66,87.75
3156,29.5,59,97.5
3157,23.5,47,99
3158,29.25,58.5,88.5
3159,32.5,65,70.5
3160,33,66,87.75
3161,29.5,59,97.5
3162,23.5,47,99
3163,29.25,58.5,88.5
3164,32.5,65,70.5
3165,33,66,87.75
3166,29.5,59,97.5
3167,23.5,47,99
3168,29.25,58.5,88.5
3169,32.5,65,70.5
3170,33,66,87.75
3171,29.5,59,97.5
3172,23.5,47,99
3173,29.25,58.5,88.5
3174,32.5,65,70.5
3175,33,66,87.75
3176,29.5,59,97.5
3177,23.5,47,99
3178,29.25,58.5,88.5
3179,32.5,65,70.5
3180,33,66,87.75
3181,29.5,59,97.5
3182,23.5,47,99
3183,29.25,58.5,88.5
3184,32.5,65,70.5
3185,33,66,87.75
3186,29.5,59,97.5
3187,23.5,47,99
3188,29.25,58.5,88.5
3189,32.5,65,70.5
3190,33,66,87.75
3191,29.5,59,97.5
3192,23.5,47,99
3193,29.25,58.5,88.5
3194,32.5,65,70.5
3195,33,66,87.75
3196,29.5,59,97.5
3197,23.5,47,99
3198,29.25,58.5,88.5
3199,32.5,65,70.5
3200,33,66,87.75
3201,29.5,59,97.5
3202,23.5,47,99
3203,29.25,58.5,88.5
3204,32.5,65,70.5
3205,33,66,87.75
3206,29.5,59,97.5
3207,23.5,47,99
3208,29.25,58.5,88.5
3209,32.5,65,70.5
3210,33,66,87.75
3211,29.5,59,97.5
3212,23.5,47,99
3213,29.25,58.5,88.5
3214,32.5,65,70.5
3215,33,66,87.75
3216,29.5,59,97.5
3217,23.5,47,99
3218,29.25,58.5,88.5
3219,32.5,65,70.5
3220,33,66,87.75
3221,29.5,59,97.5
3222,23.5,47,99
3223,29.25,58.5,88.5
3224,32.5,65,70.5
3225,33,66,87.75
3226,29.5,59,97.5
3227,23.5,47,99
3228,29.25,58.5,88.5
3229,32.5,65,70.5
3230,33,66,87.75
3231,29.5,59,97.5
3232,23.5,47,99
3233,29.25,58.5,88.5
3234,32.5,65,70.5
3235,33,66,87.75
3236,29.5,59,97.5
3237,23.5,47,99
3238,29.25,58.5,88.5
3239,32.5,65,70.5
3240,33,66,87.75
3241,29.5,59,97.5
3242,23.5,47,99
3243,29.25,58.5,88.5
3244,32.5,65,70.5
3245,33,66,87.75
3246,29.5,59,97.5
3247,23.5,47,99
3248,29.25,58.5,88.5
3249,32.5,65,70.5
3250,33,66,87.75
3251,29.5,59,97.5
3252,23.5,47,99
3253,29.25,58.5,88.5
3254,32.5,65,70.5
3255,33,66,87.75
3256,29.5,59,97.5
3257,23.5,47,99
3258,29.25,58.5,88.5
3259,32.5,65,70.5
3260,33,66,87.75
3261,29.5,59,97.5
3262,23.5,47,99
3263,29.25,58.5,88.5
3264,32.5,65,70.5
3265,33,66,87.75
3266,29.5,59,97.5
3267,23.5,47,99
3268,29.25,58.5,88.5
3269,32.5,65,70.5
3270,33,66,87.75
3271,29.5,59,97.5
3272,23.5,47,99
3273,29.25,58.5,88.5
3274,32.5,65,70.5
3275,33,66,87.75
3276,29.5,59,97.5
3277,23.5,47,99
3278,29.25,58.5,88.5
3279,32.5,65,70.5
3280,33,66,87.75
3281,29.5,59,97.5
3282,23.5,47,99
3283,29.25,58.5,88.5
3284,32.5,65,70.5
3285,33,66,87.75
3286,29.5,59,97.5
3287,23.5,47,99
3288,29.25,58.5,88.5
3289,32.5,65,70.5
3290,33,66,87.75
3291,29.5,59,97.5
3292,23.5,47,99
3293,29.25,58.5,88.5
3294,32.5,65,70.5
3295,33,66,87.75
3296,29.5,59,97.5
3297,23.5,47,99
3298,29.25,58.5,88.5
3299,32.5,65,70.5
3300,33,66,87.75
3301,29.5,59,97.5
3302,23.5,47,99
3303,29.25,58.5,88.5
3304,32.5,65,70.5
3305,33,66,87.75
3306,29.5,59,97.5
3307,23.5,47,99
3308,29.25,58.5,88.5
3309,32.5,65,70.5
3310,33,66,87.75
3311,29.5,59,97.5
3312,23.5,47,99
3313,29.25,58.5,88.5
3314,32.5,65,70.5
3315,33,66,87.75
3316,29.5,59,97.5
3317,23.5,47,99
3318,29.25,58.5,88.5
3319,32.5,65,70.5
3320,33,66,87.75
3321,29.5,59,97.5
3322,23.5,47,99
3323,29.25,58.5,88.5
3324,32.5,65,70.5
3325,33,66,87.75
3326,29.5,59,97.5
3327,23.5,47,99
3328,29.25,58.5,88.5
3329,32.5,65,70.5
3330,33,66,87.75
3331,29.5,59,97.5
3332,23.5,47,99
3333,29.25,58.5,88.5
3334,32.5,65,70.5
3335,33,66,87.75
3336,29.5,59,97.5
3337,23.5,47,99
3338,29.25,58.5,88.5
3339,32.5,65,70.5
3340,33,66,87.75
3341,29.5,59,97.5
3342,23.5,47,99
3343,29.25,58.5,88.5
3344,32.5,65,70.5
3345,33,66,87.75
3346,29.5,59,97.5
3347,23.5,47,99
3348,29.25,58.5,88.5
3349,32.5,65,70.5
3350,33,66,87.75
3351,29.5,59,97.5
3352,23.5,47,99
3353,29.25,58.5,88.5
3354,32.5,65,70.5
3355,33,66,87.75
3356,29.5,59,97.5
3357,23.5,47,99
3358,29.25,58.5,88.5
3359,32.5,65,70.5
3360,33,66,87.75
3361,29.5,59,97.5
3362,23.5,47,99
3363,29.25,58.5,88.5
3364,32.5,65,70.5
3365,33,66,87.75
3366,29.5,59,97.5
3367,23.5,47,99
3368,29.25,58.5,88.5
3369,32.5,65,70.5
3370,33,66,87.75
3371,29.5,59,97.5
3372,23.5,47,99
3373,29.25,58.5,88.5
3374,32.5,65,70.5
3375,33,66,87.75
3376,29.5,59,97.5
3377,23.5,47,99
3378,29.25,58.5,88.5
3379,32.5,65,70.5
3380,33,66,87.75
3381,29.5,59,97.5
3382,23.5,47,99
3383,29.25,58.5,88.5
3384,32.5,65,70.5
3385,33,66,87.75
3386,29.5,59,97.5
3387,23.5,47,99
3388,29.25,58.5,88.5
3389,32.5,65,70.5
3390,33,66,87.75
3391,29.5,59,97.5
3392,23.5,47,99
3393,29.25,58.5,88.5
3394,32.5,65,70.5
3395,33,66,87.75
3396,29.5,59,97.5
3397,23.5,47,99
3398,29.25,58.5,88.5
3399,32.5,65,70.5
3400,33,66,87.75
3401,29.5,59,97.5
